--- Preparing Data ---
Using cuda device
### Training... ###
Batch 0/351 Loss 2.450779
Batch 1/351 Loss 2.767852
Batch 2/351 Loss 2.891989
Batch 3/351 Loss 2.980104
Batch 4/351 Loss 2.823680
Batch 5/351 Loss 2.572436
Batch 6/351 Loss 2.855273
Batch 7/351 Loss 2.469536
Batch 8/351 Loss 2.371653
Batch 9/351 Loss 2.414750
Batch 10/351 Loss 2.336024
Batch 11/351 Loss 2.429948
Batch 12/351 Loss 2.424745
Batch 13/351 Loss 2.358831
Batch 14/351 Loss 2.337659
Batch 15/351 Loss 2.389736
Batch 16/351 Loss 2.302900
Batch 17/351 Loss 2.310789
Batch 18/351 Loss 2.226697
Batch 19/351 Loss 2.338466
Batch 20/351 Loss 2.344086
Batch 21/351 Loss 2.311463
Batch 22/351 Loss 2.372234
Batch 23/351 Loss 2.278874
Batch 24/351 Loss 2.295418
Batch 25/351 Loss 2.211109
Batch 26/351 Loss 2.246811
Batch 27/351 Loss 2.259200
Batch 28/351 Loss 2.271553
Batch 29/351 Loss 2.281298
Batch 30/351 Loss 2.276340
Batch 31/351 Loss 2.316812
Batch 32/351 Loss 2.205989
Batch 33/351 Loss 2.169786
Batch 34/351 Loss 2.203708
Batch 35/351 Loss 2.110264
Batch 36/351 Loss 2.164617
Batch 37/351 Loss 2.198005
Batch 38/351 Loss 2.186722
Batch 39/351 Loss 2.154253
Batch 40/351 Loss 2.161104
Batch 41/351 Loss 2.190091
Batch 42/351 Loss 2.222234
Batch 43/351 Loss 2.192814
Batch 44/351 Loss 2.155658
Batch 45/351 Loss 2.257525
Batch 46/351 Loss 2.128922
Batch 47/351 Loss 2.119423
Batch 48/351 Loss 2.049381
Batch 49/351 Loss 2.265758
Batch 50/351 Loss 2.066612
Batch 51/351 Loss 2.106530
Batch 52/351 Loss 2.027030
Batch 53/351 Loss 2.097046
Batch 54/351 Loss 2.028061
Batch 55/351 Loss 2.137847
Batch 56/351 Loss 2.056305
Batch 57/351 Loss 2.069038
Batch 58/351 Loss 2.055270
Batch 59/351 Loss 1.960379
Batch 60/351 Loss 2.067195
Batch 61/351 Loss 2.003316
Batch 62/351 Loss 1.989941
Batch 63/351 Loss 1.994504
Batch 64/351 Loss 2.019220
Batch 65/351 Loss 2.135226
Batch 66/351 Loss 2.117960
Batch 67/351 Loss 2.046510
Batch 68/351 Loss 1.967168
Batch 69/351 Loss 1.934294
Batch 70/351 Loss 2.003536
Batch 71/351 Loss 1.969072
Batch 72/351 Loss 1.921426
Batch 73/351 Loss 1.887998
Batch 74/351 Loss 2.229501
Batch 75/351 Loss 2.060657
Batch 76/351 Loss 1.939628
Batch 77/351 Loss 1.945503
Batch 78/351 Loss 1.910028
Batch 79/351 Loss 1.758399
Batch 80/351 Loss 2.040675
Batch 81/351 Loss 1.973948
Batch 82/351 Loss 1.944530
Batch 83/351 Loss 1.854229
Batch 84/351 Loss 1.938330
Batch 85/351 Loss 2.008368
Batch 86/351 Loss 1.917493
Batch 87/351 Loss 1.891825
Batch 88/351 Loss 1.939046
Batch 89/351 Loss 1.817433
Batch 90/351 Loss 1.924346
Batch 91/351 Loss 1.884113
Batch 92/351 Loss 1.783988
Batch 93/351 Loss 1.938050
Batch 94/351 Loss 1.810264
Batch 95/351 Loss 1.831107
Batch 96/351 Loss 1.910386
Batch 97/351 Loss 1.879879
Batch 98/351 Loss 1.900076
Batch 99/351 Loss 1.885655
Batch 100/351 Loss 1.906600
Batch 101/351 Loss 1.929870
Batch 102/351 Loss 2.190563
Batch 103/351 Loss 1.919379
Batch 104/351 Loss 1.715411
Batch 105/351 Loss 1.913624
Batch 106/351 Loss 1.852751
Batch 107/351 Loss 1.754868
Batch 108/351 Loss 1.794660
Batch 109/351 Loss 1.947730
Batch 110/351 Loss 1.956539
Batch 111/351 Loss 1.825472
Batch 112/351 Loss 1.774763
Batch 113/351 Loss 1.855445
Batch 114/351 Loss 1.772175
Batch 115/351 Loss 1.831876
Batch 116/351 Loss 1.824908
Batch 117/351 Loss 1.845915
Batch 118/351 Loss 1.834749
Batch 119/351 Loss 1.856615
Batch 120/351 Loss 1.793820
Batch 121/351 Loss 1.856694
Batch 122/351 Loss 2.015232
Batch 123/351 Loss 1.778294
Batch 124/351 Loss 1.641098
Batch 125/351 Loss 1.825981
Batch 126/351 Loss 1.923084
Batch 127/351 Loss 1.858692
Batch 128/351 Loss 1.706989
Batch 129/351 Loss 1.825186
Batch 130/351 Loss 1.847725
Batch 131/351 Loss 1.808482
Batch 132/351 Loss 1.592397
Batch 133/351 Loss 1.808898
Batch 134/351 Loss 1.784004
Batch 135/351 Loss 1.831600
Batch 136/351 Loss 1.714440
Batch 137/351 Loss 1.868183
Batch 138/351 Loss 1.851281
Batch 139/351 Loss 1.617117
Batch 140/351 Loss 1.874593
Batch 141/351 Loss 1.849253
Batch 142/351 Loss 1.715103
Batch 143/351 Loss 1.731779
Batch 144/351 Loss 1.690997
Batch 145/351 Loss 1.740444
Batch 146/351 Loss 1.832632
Batch 147/351 Loss 1.850522
Batch 148/351 Loss 1.694023
Batch 149/351 Loss 1.722748
Batch 150/351 Loss 1.732878
Batch 151/351 Loss 1.731803
Batch 152/351 Loss 1.909442
Batch 153/351 Loss 1.792291
Batch 154/351 Loss 1.713108
Batch 155/351 Loss 1.680411
Batch 156/351 Loss 1.790470
Batch 157/351 Loss 1.774889
Batch 158/351 Loss 1.674965
Batch 159/351 Loss 1.749986
Batch 160/351 Loss 1.601185
Batch 161/351 Loss 1.808313
Batch 162/351 Loss 1.851263
Batch 163/351 Loss 1.756819
Batch 164/351 Loss 1.891384
Batch 165/351 Loss 1.874033
Batch 166/351 Loss 1.692453
Batch 167/351 Loss 1.650366
Batch 168/351 Loss 1.666937
Batch 169/351 Loss 1.618739
Batch 170/351 Loss 1.753393
Batch 171/351 Loss 1.709472
Batch 172/351 Loss 1.683446
Batch 173/351 Loss 1.777016
Batch 174/351 Loss 1.699069
Batch 175/351 Loss 1.681222
Batch 176/351 Loss 1.701571
Batch 177/351 Loss 1.581097
Batch 178/351 Loss 1.739534
Batch 179/351 Loss 1.762469
Batch 180/351 Loss 1.689270
Batch 181/351 Loss 1.670873
Batch 182/351 Loss 1.612593
Batch 183/351 Loss 1.851011
Batch 184/351 Loss 1.744951
Batch 185/351 Loss 1.748426
Batch 186/351 Loss 1.592745
Batch 187/351 Loss 1.579183
Batch 188/351 Loss 1.655347
Batch 189/351 Loss 1.649349
Batch 190/351 Loss 1.804586
Batch 191/351 Loss 1.616007
Batch 192/351 Loss 1.819250
Batch 193/351 Loss 1.778638
Batch 194/351 Loss 1.663467
Batch 195/351 Loss 1.623960
Batch 196/351 Loss 1.838599
Batch 197/351 Loss 1.592036
Batch 198/351 Loss 1.625602
Batch 199/351 Loss 1.558684
Batch 200/351 Loss 1.746982
Batch 201/351 Loss 1.751345
Batch 202/351 Loss 1.707267
Batch 203/351 Loss 1.894669
Batch 204/351 Loss 1.675105
Batch 205/351 Loss 1.759625
Batch 206/351 Loss 1.770534
Batch 207/351 Loss 1.819151
Batch 208/351 Loss 1.616183
Batch 209/351 Loss 1.644860
Batch 210/351 Loss 1.696839
Batch 211/351 Loss 1.586981
Batch 212/351 Loss 1.684326
Batch 213/351 Loss 1.654042
Batch 214/351 Loss 1.654752
Batch 215/351 Loss 1.739668
Batch 216/351 Loss 1.734973
Batch 217/351 Loss 1.605931
Batch 218/351 Loss 1.561414
Batch 219/351 Loss 1.748305
Batch 220/351 Loss 1.636382
Batch 221/351 Loss 1.720267
Batch 222/351 Loss 1.603789
Batch 223/351 Loss 1.744551
Batch 224/351 Loss 1.646518
Batch 225/351 Loss 1.485702
Batch 226/351 Loss 1.783182
Batch 227/351 Loss 1.725538
Batch 228/351 Loss 1.581427
Batch 229/351 Loss 1.766864
Batch 230/351 Loss 1.722593
Batch 231/351 Loss 1.656902
Batch 232/351 Loss 1.580973
Batch 233/351 Loss 1.559783
Batch 234/351 Loss 1.655089
Batch 235/351 Loss 1.572824
Batch 236/351 Loss 1.485386
Batch 237/351 Loss 1.732090
Batch 238/351 Loss 1.497647
Batch 239/351 Loss 1.714187
Batch 240/351 Loss 1.761847
Batch 241/351 Loss 1.787599
Batch 242/351 Loss 1.654235
Batch 243/351 Loss 1.763176
Batch 244/351 Loss 1.684244
Batch 245/351 Loss 1.643162
Batch 246/351 Loss 1.549354
Batch 247/351 Loss 1.646578
Batch 248/351 Loss 1.608676
Batch 249/351 Loss 1.559830
Batch 250/351 Loss 1.530444
Batch 251/351 Loss 1.609996
Batch 252/351 Loss 1.579356
Batch 253/351 Loss 1.567045
Batch 254/351 Loss 1.703349
Batch 255/351 Loss 1.596032
Batch 256/351 Loss 1.630792
Batch 257/351 Loss 1.560212
Batch 258/351 Loss 1.582480
Batch 259/351 Loss 1.428773
Batch 260/351 Loss 1.599888
Batch 261/351 Loss 1.655973
Batch 262/351 Loss 1.653513
Batch 263/351 Loss 1.649523
Batch 264/351 Loss 1.496113
Batch 265/351 Loss 1.636379
Batch 266/351 Loss 1.532260
Batch 267/351 Loss 1.527838
Batch 268/351 Loss 1.423116
Batch 269/351 Loss 1.571651
Batch 270/351 Loss 1.745963
Batch 271/351 Loss 1.499235
Batch 272/351 Loss 1.425123
Batch 273/351 Loss 1.691976
Batch 274/351 Loss 1.557023
Batch 275/351 Loss 1.656746
Batch 276/351 Loss 1.602945
Batch 277/351 Loss 1.677181
Batch 278/351 Loss 1.682605
Batch 279/351 Loss 1.494097
Batch 280/351 Loss 1.472118
Batch 281/351 Loss 1.620185
Batch 282/351 Loss 1.682613
Batch 283/351 Loss 1.613943
Batch 284/351 Loss 1.861696
Batch 285/351 Loss 1.753746
Batch 286/351 Loss 1.777062
Batch 287/351 Loss 1.521364
Batch 288/351 Loss 1.482396
Batch 289/351 Loss 1.566935
Batch 290/351 Loss 1.511985
Batch 291/351 Loss 1.648874
Batch 292/351 Loss 1.647002
Batch 293/351 Loss 1.562395
Batch 294/351 Loss 1.547647
Batch 295/351 Loss 1.536145
Batch 296/351 Loss 1.448342
Batch 297/351 Loss 1.654332
Batch 298/351 Loss 1.499183
Batch 299/351 Loss 1.356097
Batch 300/351 Loss 1.557188
Batch 301/351 Loss 1.493210
Batch 302/351 Loss 1.572753
Batch 303/351 Loss 1.493909
Batch 304/351 Loss 1.755310
Batch 305/351 Loss 1.610979
Batch 306/351 Loss 1.631133
Batch 307/351 Loss 1.652532
Batch 308/351 Loss 1.671052
Batch 309/351 Loss 1.469229
Batch 310/351 Loss 1.692237
Batch 311/351 Loss 1.708766
Batch 312/351 Loss 1.624400
Batch 313/351 Loss 1.695761
Batch 314/351 Loss 1.610252
Batch 315/351 Loss 1.393090
Batch 316/351 Loss 1.598787
Batch 317/351 Loss 1.488886
Batch 318/351 Loss 1.555462
Batch 319/351 Loss 1.578125
Batch 320/351 Loss 1.677454
Batch 321/351 Loss 1.713383
Batch 322/351 Loss 1.646734
Batch 323/351 Loss 1.329820
Batch 324/351 Loss 1.572914
Batch 325/351 Loss 1.521624
Batch 326/351 Loss 1.571158
Batch 327/351 Loss 1.584930
Batch 328/351 Loss 1.712247
Batch 329/351 Loss 1.566582
Batch 330/351 Loss 1.411064
Batch 331/351 Loss 1.431456
Batch 332/351 Loss 1.494477
Batch 333/351 Loss 1.635549
Batch 334/351 Loss 1.700729
Batch 335/351 Loss 1.595434
Batch 336/351 Loss 1.651256
Batch 337/351 Loss 1.498283
Batch 338/351 Loss 1.525301
Batch 339/351 Loss 1.668824
Batch 340/351 Loss 1.487621
Batch 341/351 Loss 1.631441
Batch 342/351 Loss 1.596134
Batch 343/351 Loss 1.456484
Batch 344/351 Loss 1.509182
Batch 345/351 Loss 1.589154
Batch 346/351 Loss 1.489116
Batch 347/351 Loss 1.474126
Batch 348/351 Loss 1.414718
Batch 349/351 Loss 1.530626
Batch 350/351 Loss 1.630167
Epoch 1 Loss 1.630167 Duration 55.952 seconds.
Batch 0/351 Loss 1.748908
Batch 1/351 Loss 1.497746
Batch 2/351 Loss 1.500438
Batch 3/351 Loss 1.558144
Batch 4/351 Loss 1.402302
Batch 5/351 Loss 1.663859
Batch 6/351 Loss 1.580316
Batch 7/351 Loss 1.490751
Batch 8/351 Loss 1.588974
Batch 9/351 Loss 1.591959
Batch 10/351 Loss 1.635620
Batch 11/351 Loss 1.370470
Batch 12/351 Loss 1.726657
Batch 13/351 Loss 1.501283
Batch 14/351 Loss 1.568316
Batch 15/351 Loss 1.592292
Batch 16/351 Loss 1.528183
Batch 17/351 Loss 1.583155
Batch 18/351 Loss 1.470715
Batch 19/351 Loss 1.397958
Batch 20/351 Loss 1.647382
Batch 21/351 Loss 1.525411
Batch 22/351 Loss 1.616584
Batch 23/351 Loss 1.511979
Batch 24/351 Loss 1.453166
Batch 25/351 Loss 1.604669
Batch 26/351 Loss 1.612910
Batch 27/351 Loss 1.519423
Batch 28/351 Loss 1.694695
Batch 29/351 Loss 1.602334
Batch 30/351 Loss 1.578091
Batch 31/351 Loss 1.459791
Batch 32/351 Loss 1.436627
Batch 33/351 Loss 1.354203
Batch 34/351 Loss 1.560035
Batch 35/351 Loss 1.399991
Batch 36/351 Loss 1.450025
Batch 37/351 Loss 1.578561
Batch 38/351 Loss 1.553171
Batch 39/351 Loss 1.549611
Batch 40/351 Loss 1.453312
Batch 41/351 Loss 1.486919
Batch 42/351 Loss 1.324538
Batch 43/351 Loss 1.665153
Batch 44/351 Loss 1.592651
Batch 45/351 Loss 1.526185
Batch 46/351 Loss 1.547104
Batch 47/351 Loss 1.485740
Batch 48/351 Loss 1.537373
Batch 49/351 Loss 1.366344
Batch 50/351 Loss 1.495447
Batch 51/351 Loss 1.658331
Batch 52/351 Loss 1.432090
Batch 53/351 Loss 1.547674
Batch 54/351 Loss 1.490815
Batch 55/351 Loss 1.661609
Batch 56/351 Loss 1.522797
Batch 57/351 Loss 1.612725
Batch 58/351 Loss 1.403044
Batch 59/351 Loss 1.488748
Batch 60/351 Loss 1.588729
Batch 61/351 Loss 1.465421
Batch 62/351 Loss 1.577053
Batch 63/351 Loss 1.525481
Batch 64/351 Loss 1.631043
Batch 65/351 Loss 1.277016
Batch 66/351 Loss 1.420880
Batch 67/351 Loss 1.638067
Batch 68/351 Loss 1.220196
Batch 69/351 Loss 1.481401
Batch 70/351 Loss 1.309264
Batch 71/351 Loss 1.338632
Batch 72/351 Loss 1.282966
Batch 73/351 Loss 1.540638
Batch 74/351 Loss 1.447495
Batch 75/351 Loss 1.631375
Batch 76/351 Loss 1.359564
Batch 77/351 Loss 1.385037
Batch 78/351 Loss 1.555335
Batch 79/351 Loss 1.547254
Batch 80/351 Loss 1.442773
Batch 81/351 Loss 1.349735
Batch 82/351 Loss 1.471933
Batch 83/351 Loss 1.486122
Batch 84/351 Loss 1.326990
Batch 85/351 Loss 1.425344
Batch 86/351 Loss 1.572101
Batch 87/351 Loss 1.499035
Batch 88/351 Loss 1.415409
Batch 89/351 Loss 1.414025
Batch 90/351 Loss 1.315178
Batch 91/351 Loss 1.407179
Batch 92/351 Loss 1.523554
Batch 93/351 Loss 1.683155
Batch 94/351 Loss 1.357512
Batch 95/351 Loss 1.439689
Batch 96/351 Loss 1.421360
Batch 97/351 Loss 1.388290
Batch 98/351 Loss 1.494390
Batch 99/351 Loss 1.263849
Batch 100/351 Loss 1.570656
Batch 101/351 Loss 1.531242
Batch 102/351 Loss 1.435661
Batch 103/351 Loss 1.441885
Batch 104/351 Loss 1.528753
Batch 105/351 Loss 1.420209
Batch 106/351 Loss 1.484282
Batch 107/351 Loss 1.318015
Batch 108/351 Loss 1.425710
Batch 109/351 Loss 1.527709
Batch 110/351 Loss 1.596944
Batch 111/351 Loss 1.572414
Batch 112/351 Loss 1.321100
Batch 113/351 Loss 1.431085
Batch 114/351 Loss 1.279431
Batch 115/351 Loss 1.457210
Batch 116/351 Loss 1.485193
Batch 117/351 Loss 1.495010
Batch 118/351 Loss 1.394354
Batch 119/351 Loss 1.374005
Batch 120/351 Loss 1.337543
Batch 121/351 Loss 1.575739
Batch 122/351 Loss 1.353198
Batch 123/351 Loss 1.484919
Batch 124/351 Loss 1.343717
Batch 125/351 Loss 1.545301
Batch 126/351 Loss 1.270868
Batch 127/351 Loss 1.513810
Batch 128/351 Loss 1.333598
Batch 129/351 Loss 1.429636
Batch 130/351 Loss 1.452022
Batch 131/351 Loss 1.301638
Batch 132/351 Loss 1.388054
Batch 133/351 Loss 1.447420
Batch 134/351 Loss 1.326640
Batch 135/351 Loss 1.489399
Batch 136/351 Loss 1.450974
Batch 137/351 Loss 1.599690
Batch 138/351 Loss 1.440439
Batch 139/351 Loss 1.359116
Batch 140/351 Loss 1.459408
Batch 141/351 Loss 1.413618
Batch 142/351 Loss 1.394236
Batch 143/351 Loss 1.392183
Batch 144/351 Loss 1.554591
Batch 145/351 Loss 1.295812
Batch 146/351 Loss 1.433563
Batch 147/351 Loss 1.330345
Batch 148/351 Loss 1.224016
Batch 149/351 Loss 1.249189
Batch 150/351 Loss 1.458109
Batch 151/351 Loss 1.577758
Batch 152/351 Loss 1.223340
Batch 153/351 Loss 1.558385
Batch 154/351 Loss 1.419857
Batch 155/351 Loss 1.214537
Batch 156/351 Loss 1.481076
Batch 157/351 Loss 1.405177
Batch 158/351 Loss 1.515023
Batch 159/351 Loss 1.278866
Batch 160/351 Loss 1.326821
Batch 161/351 Loss 1.242150
